"Markettype","Trddt","Dnvaltrdtl"
"2","2014-06-19","13071891.000"
"16","2014-06-19","28344334115.010"
"8","2014-06-19","134048654.320"
"4","2014-06-19","71040114401.850"
"1","2014-06-19","74548550005.000"
"2","2014-06-20","9448763.000"
"16","2014-06-20","20364911106.420"
"8","2014-06-20","119279044.490"
"4","2014-06-20","51334894696.600"
"1","2014-06-20","53166156615.000"
"2","2014-06-23","12280005.000"
"16","2014-06-23","26060371258.650"
"8","2014-06-23","93297556.940"
"4","2014-06-23","58837359697.490"
"1","2014-06-23","57697178600.000"
"2","2014-06-24","11489828.000"
"16","2014-06-24","25453966221.800"
"8","2014-06-24","122599320.340"
"4","2014-06-24","61868084838.050"
"1","2014-06-24","61614220968.000"
"2","2014-06-25","11072850.000"
"16","2014-06-25","25052770918.480"
"8","2014-06-25","110002137.220"
"4","2014-06-25","59127795848.680"
"1","2014-06-25","55921013373.000"
"2","2014-06-26","12669821.000"
"16","2014-06-26","34326830938.490"
"8","2014-06-26","141235697.260"
"4","2014-06-26","75150043324.640"
"1","2014-06-26","66456324929.000"
"2","2014-06-27","11210169.000"
"16","2014-06-27","34164122316.770"
"8","2014-06-27","144808813.760"
"4","2014-06-27","85201349724.670"
"1","2014-06-27","76641617202.000"
"2","2014-06-30","14357667.000"
"16","2014-06-30","34382168287.510"
"8","2014-06-30","144331065.410"
"4","2014-06-30","88628568381.560"
"1","2014-06-30","79922808180.000"
"2","2014-07-01","11688445.000"
"16","2014-07-01","34672239800.840"
"8","2014-07-01","122890092.340"
"4","2014-07-01","90389069219.190"
"1","2014-07-01","83427828187.000"
"2","2014-07-02","13413073.000"
"16","2014-07-02","36251826077.480"
"8","2014-07-02","159968251.100"
"4","2014-07-02","93718639123.890"
"1","2014-07-02","89222435470.000"
"2","2014-07-03","19633990.000"
"16","2014-07-03","35608402108.840"
"8","2014-07-03","169634213.740"
"4","2014-07-03","102921175940.160"
"1","2014-07-03","96061635597.000"
"2","2014-07-04","15255672.000"
"16","2014-07-04","33754026125.120"
"8","2014-07-04","145073723.660"
"4","2014-07-04","94697471216.660"
"1","2014-07-04","83502548685.000"
"2","2014-07-07","14566646.000"
"16","2014-07-07","31780414851.300"
"8","2014-07-07","156647930.610"
"4","2014-07-07","89437009169.120"
"1","2014-07-07","81381522944.000"
"2","2014-07-08","15081635.000"
"16","2014-07-08","33694893930.260"
"8","2014-07-08","241710345.360"
"4","2014-07-08","93189965211.110"
"1","2014-07-08","81491483047.000"
"2","2014-07-09","17856138.000"
"16","2014-07-09","38173836948.410"
"8","2014-07-09","226019275.090"
"4","2014-07-09","108974565295.910"
"1","2014-07-09","97073423504.000"
"2","2014-07-10","13591403.000"
"16","2014-07-10","29716564132.410"
"8","2014-07-10","169540572.830"
"4","2014-07-10","90811442935.120"
"1","2014-07-10","84664850696.000"
"2","2014-07-11","11657228.000"
"16","2014-07-11","27890269464.190"
"8","2014-07-11","208131822.840"
"4","2014-07-11","91924430130.220"
"1","2014-07-11","86181860171.000"
"2","2014-07-14","15504586.000"
"16","2014-07-14","30878249299.070"
"8","2014-07-14","196432872.550"
"4","2014-07-14","105817055442.950"
"1","2014-07-14","96261708517.000"
"2","2014-07-15","19363922.000"
"16","2014-07-15","33258430308.420"
"8","2014-07-15","253577576.380"
"4","2014-07-15","111347072916.740"
"1","2014-07-15","102774886378.000"
"2","2014-07-16","17182021.000"
"16","2014-07-16","28027240934.040"
"8","2014-07-16","186784792.260"
"4","2014-07-16","95507210360.580"
"1","2014-07-16","101924190068.000"
"2","2014-07-17","16784999.000"
"16","2014-07-17","21050557539.640"
"8","2014-07-17","163267401.680"
"4","2014-07-17","76017886242.950"
"1","2014-07-17","79003105322.000"
"2","2014-07-18","13507257.000"
"16","2014-07-18","19311483695.970"
"8","2014-07-18","193975129.310"
"4","2014-07-18","75580902958.240"
"1","2014-07-18","82427236658.000"
"2","2014-07-21","9543762.000"
"16","2014-07-21","20787911667.200"
"8","2014-07-21","182233449.690"
"4","2014-07-21","73244547642.930"
"1","2014-07-21","75647421177.000"
"2","2014-07-22","15019688.000"
"16","2014-07-22","21147637202.540"
"8","2014-07-22","187578300.410"
"4","2014-07-22","89251231361.670"
"1","2014-07-22","98609963428.000"
"2","2014-07-23","18720224.000"
"16","2014-07-23","25155893612.920"
"8","2014-07-23","198663107.490"
"4","2014-07-23","94382247238.720"
"1","2014-07-23","106586872560.000"
"2","2014-07-24","24016343.000"
"16","2014-07-24","23820674399.510"
"8","2014-07-24","260302090.950"
"4","2014-07-24","102470785795.260"
"1","2014-07-24","128530118783.000"
"2","2014-07-25","24546062.000"
"16","2014-07-25","18069393388.800"
"8","2014-07-25","276385474.080"
"4","2014-07-25","88191603895.970"
"1","2014-07-25","111260447790.000"
"2","2014-07-28","37535560.000"
"16","2014-07-28","22428646415.000"
"8","2014-07-28","323295654.950"
"4","2014-07-28","127007349419.930"
"1","2014-07-28","180183221822.000"
"2","2014-07-29","42309873.000"
"16","2014-07-29","25686811295.950"
"8","2014-07-29","338577757.540"
"4","2014-07-29","131271885026.570"
"1","2014-07-29","159021881549.000"
"2","2014-07-30","32095463.000"
"16","2014-07-30","26036911611.390"
"8","2014-07-30","262372389.450"
"4","2014-07-30","126257183521.630"
"1","2014-07-30","149368852056.000"
"2","2014-07-31","26256655.000"
"16","2014-07-31","22911026778.550"
"8","2014-07-31","263019248.770"
"4","2014-07-31","119287560388.230"
"1","2014-07-31","132276718408.000"
"2","2014-08-01","31433507.000"
"16","2014-08-01","25580283439.030"
"8","2014-08-01","278948931.270"
"4","2014-08-01","135155436957.110"
"1","2014-08-01","151690405721.000"
"2","2014-08-04","23652687.000"
"16","2014-08-04","20114650363.830"
"8","2014-08-04","248063941.060"
